date & time,count,mean_smell,latitude_mean,latitude_std,longitude_mean,longitude_std,text_emb_mean,text_emb_std
2019-12-31 23:00:00+00:00,1,3.0,40.5571098,,-80.0595779,,"[-0.49774486  0.28414625  0.1469624   0.2692876   0.13479362 -0.07762344
 -0.14117464  0.08934702  0.23645714  0.07075669  0.21581101 -0.09373821
 -0.27601108  0.09635295  0.08301213  0.01127023 -0.03266574 -0.09962883
  0.03127268 -0.0479377 ]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
2020-01-01 00:00:00+00:00,0,,,,,,,
2020-01-01 01:00:00+00:00,0,,,,,,,
2020-01-01 02:00:00+00:00,0,,,,,,,
2020-01-01 03:00:00+00:00,1,3.0,40.4231377,,-79.9203873,,"[-0.12234919 -0.6456431  -0.00735369 -0.02066212  0.0349908   0.00415815
 -0.09470146 -0.01322197 -0.04142627  0.03578126 -0.01131028  0.04277683
  0.02624308 -0.04376654  0.07877292  0.0149303   0.07711673  0.04403294
 -0.00298376  0.02032957]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
2020-01-01 04:00:00+00:00,1,3.0,40.381115,,-79.8609848,,"[-0.3167513  -0.21377659 -0.3267302   0.14364246  0.18719588 -0.01070131
  0.25341216  0.06697243  0.06475325  0.41249213 -0.23549663 -0.03617205
  0.2908434  -0.01469503  0.07712492  0.04478604 -0.10972235  0.04221344
 -0.00835331 -0.05462915]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
2020-01-01 05:00:00+00:00,1,3.0,40.3077278,,-79.8609085,,"[-0.29215193  0.04379126 -0.29922467  0.14253202  0.08820298 -0.01517348
 -0.21299863 -0.25005117 -0.1470921   0.00181026 -0.07616436  0.12780297
  0.05916318  0.06483135  0.0409205  -0.05132854 -0.03702778 -0.0117991
  0.00841325  0.00993852]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
2020-01-01 06:00:00+00:00,0,,,,,,,
2020-01-01 07:00:00+00:00,0,,,,,,,
2020-01-01 08:00:00+00:00,0,,,,,,,
2020-01-01 09:00:00+00:00,0,,,,,,,
2020-01-01 10:00:00+00:00,0,,,,,,,
2020-01-01 11:00:00+00:00,0,,,,,,,
2020-01-01 12:00:00+00:00,1,3.0,40.3077812,,-79.8609085,,"[-0.11132358 -0.30978486  0.10154787  0.00394536 -0.03123035 -0.33414793
 -0.22790149 -0.1818719   0.13522004  0.10005072 -0.13692297  0.30826038
  0.10502727  0.24828297  0.06528311 -0.10173441  0.12726618 -0.11356952
  0.13617796 -0.12743804]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
2020-01-01 13:00:00+00:00,0,,,,,,,
2020-01-01 14:00:00+00:00,1,4.0,40.3462486,,-79.9344788,,"[-0.3590114   0.01350658 -0.1893703   0.13614258 -0.06294024  0.11782782
 -0.09956057  0.18736401  0.01353201  0.03901856  0.17188357 -0.19020532
  0.09842779  0.1433546  -0.09863395 -0.14726186  0.05504424 -0.32616642
  0.05554584  0.05344962]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
2020-01-01 15:00:00+00:00,1,1.0,40.430397,,-79.8953247,,"[-0.220671    0.0012804  -0.0627533   0.0544541  -0.321536   -0.0372891
 -0.3932558  -0.07885416  0.02167891  0.05961812 -0.01104011  0.06646122
 -0.08990553 -0.0262746  -0.00739505  0.09027407 -0.07148666  0.1927563
  0.03312635 -0.11235658]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
2020-01-01 16:00:00+00:00,0,,,,,,,
2020-01-01 17:00:00+00:00,4,3.25,40.37345695,0.08618928709603856,-79.89572715,0.02749963369604437,"[-0.04691152  0.12676203  0.00569776 -0.17097151  0.0549389   0.02986358
 -0.03869513 -0.09284305  0.06578318 -0.02141212  0.02202821 -0.07942432
 -0.03016597  0.0660868  -0.05899458  0.03037614 -0.09610754  0.0336052
 -0.01618496  0.05517372]","[0.4636635  0.21459731 0.19820228 0.17172018 0.13162471 0.10515737
 0.09917601 0.08452124 0.17781599 0.06399023 0.03820926 0.11720268
 0.01584584 0.09891853 0.06163292 0.04144618 0.05687243 0.02663586
 0.03370243 0.06825028]"
2020-01-01 18:00:00+00:00,2,2.0,40.366872799999996,0.022671681882466575,-79.99357225,0.1468085906711438,"[ 0.29172015 -0.24758519  0.00347228  0.02525524 -0.1116404  -0.1280672
 -0.0265533   0.13480344 -0.09234439 -0.02432542 -0.10742152  0.07968672
 -0.08190906  0.05604612  0.01642957  0.12831779 -0.03133232 -0.07949728
 -0.04468205  0.04830582]","[0.44347382 0.30318964 0.02537599 0.00160571 0.13315135 0.15220255
 0.03251208 0.13746107 0.08920406 0.02921708 0.10981838 0.0759422
 0.07363281 0.05204467 0.01527753 0.1262495  0.02859398 0.07656991
 0.04539547 0.04890752]"
