,drift_type,strength,length,window,step,tp_regular,fn_regular,fp_regular,delay_regular,tp_irregular,fn_irregular,fp_irregular,delay_irregular,fp_rate_regular,strength_mag,drift_name
0,1,"(0.1, 0.2)","(0.05, 0.1)",168,24,1,0,37,10,1,0,146,916,37,0.15000000000000002,Abrupt
1,1,"(0.1, 0.2)","(0.05, 0.1)",720,24,1,0,11,22,1,0,134,376,11,0.15000000000000002,Abrupt
2,1,"(0.1, 0.2)","(0.05, 0.1)",720,168,1,0,1,46,1,0,21,376,1,0.15000000000000002,Abrupt
3,1,"(0.1, 0.2)","(0.05, 0.1)",2160,24,1,0,15,22,1,0,87,232,15,0.15000000000000002,Abrupt
4,1,"(0.1, 0.2)","(0.05, 0.1)",2160,168,1,0,5,22,1,0,9,352,5,0.15000000000000002,Abrupt
5,1,"(0.1, 0.2)","(0.05, 0.1)",2160,720,1,0,1,502,1,0,3,496,1,0.15000000000000002,Abrupt
6,1,"(0.1, 0.2)","(0.1, 0.2)",168,24,1,0,37,10,1,0,146,916,37,0.15000000000000002,Abrupt
7,1,"(0.1, 0.2)","(0.1, 0.2)",720,24,1,0,11,22,1,0,134,376,11,0.15000000000000002,Abrupt
8,1,"(0.1, 0.2)","(0.1, 0.2)",720,168,1,0,1,46,1,0,21,376,1,0.15000000000000002,Abrupt
9,1,"(0.1, 0.2)","(0.1, 0.2)",2160,24,1,0,15,22,1,0,87,232,15,0.15000000000000002,Abrupt
10,1,"(0.1, 0.2)","(0.1, 0.2)",2160,168,1,0,5,22,1,0,9,352,5,0.15000000000000002,Abrupt
11,1,"(0.1, 0.2)","(0.1, 0.2)",2160,720,1,0,1,502,1,0,3,496,1,0.15000000000000002,Abrupt
12,1,"(0.3, 0.5)","(0.05, 0.1)",168,24,1,0,37,10,1,0,146,52,37,0.4,Abrupt
13,1,"(0.3, 0.5)","(0.05, 0.1)",720,24,1,0,11,22,1,0,139,16,11,0.4,Abrupt
14,1,"(0.3, 0.5)","(0.05, 0.1)",720,168,1,0,1,46,1,0,21,40,1,0.4,Abrupt
15,1,"(0.3, 0.5)","(0.05, 0.1)",2160,24,1,0,29,22,1,0,110,16,29,0.4,Abrupt
16,1,"(0.3, 0.5)","(0.05, 0.1)",2160,168,1,0,6,22,1,0,12,16,6,0.4,Abrupt
17,1,"(0.3, 0.5)","(0.05, 0.1)",2160,720,1,0,2,502,1,0,4,496,2,0.4,Abrupt
18,1,"(0.3, 0.5)","(0.1, 0.2)",168,24,1,0,37,10,1,0,146,52,37,0.4,Abrupt
19,1,"(0.3, 0.5)","(0.1, 0.2)",720,24,1,0,11,22,1,0,139,16,11,0.4,Abrupt
20,1,"(0.3, 0.5)","(0.1, 0.2)",720,168,1,0,1,46,1,0,21,40,1,0.4,Abrupt
21,1,"(0.3, 0.5)","(0.1, 0.2)",2160,24,1,0,29,22,1,0,110,16,29,0.4,Abrupt
22,1,"(0.3, 0.5)","(0.1, 0.2)",2160,168,1,0,6,22,1,0,12,16,6,0.4,Abrupt
23,1,"(0.3, 0.5)","(0.1, 0.2)",2160,720,1,0,2,502,1,0,4,496,2,0.4,Abrupt
24,2,"(0.1, 0.2)","(0.05, 0.1)",168,24,1,0,37,10,1,0,146,3004,37,0.15000000000000002,Gradual
25,2,"(0.1, 0.2)","(0.05, 0.1)",720,24,1,0,11,22,1,0,134,3088,11,0.15000000000000002,Gradual
26,2,"(0.1, 0.2)","(0.05, 0.1)",720,168,1,0,1,46,1,0,21,3064,1,0.15000000000000002,Gradual
27,2,"(0.1, 0.2)","(0.05, 0.1)",2160,24,1,0,14,22,1,0,87,2752,14,0.15000000000000002,Gradual
28,2,"(0.1, 0.2)","(0.05, 0.1)",2160,168,1,0,4,22,1,0,9,2872,4,0.15000000000000002,Gradual
29,2,"(0.1, 0.2)","(0.05, 0.1)",2160,720,1,0,1,4822,1,0,3,3376,1,0.15000000000000002,Gradual
30,2,"(0.1, 0.2)","(0.1, 0.2)",168,24,1,0,37,10,1,0,146,3004,37,0.15000000000000002,Gradual
31,2,"(0.1, 0.2)","(0.1, 0.2)",720,24,1,0,11,22,1,0,134,3256,11,0.15000000000000002,Gradual
32,2,"(0.1, 0.2)","(0.1, 0.2)",720,168,1,0,1,46,1,0,21,3400,1,0.15000000000000002,Gradual
33,2,"(0.1, 0.2)","(0.1, 0.2)",2160,24,1,0,15,22,1,0,87,3328,15,0.15000000000000002,Gradual
34,2,"(0.1, 0.2)","(0.1, 0.2)",2160,168,1,0,4,22,1,0,9,3376,4,0.15000000000000002,Gradual
35,2,"(0.1, 0.2)","(0.1, 0.2)",2160,720,1,0,1,7702,1,0,3,3376,1,0.15000000000000002,Gradual
36,2,"(0.3, 0.5)","(0.05, 0.1)",168,24,1,0,37,10,1,0,146,2188,37,0.4,Gradual
37,2,"(0.3, 0.5)","(0.05, 0.1)",720,24,1,0,11,22,1,0,134,2008,11,0.4,Gradual
38,2,"(0.3, 0.5)","(0.05, 0.1)",720,168,1,0,1,46,1,0,21,2056,1,0.4,Gradual
39,2,"(0.3, 0.5)","(0.05, 0.1)",2160,24,1,0,14,22,1,0,87,1408,14,0.4,Gradual
40,2,"(0.3, 0.5)","(0.05, 0.1)",2160,168,1,0,4,22,1,0,9,1528,4,0.4,Gradual
41,2,"(0.3, 0.5)","(0.05, 0.1)",2160,720,1,0,1,1942,1,0,3,1936,1,0.4,Gradual
42,2,"(0.3, 0.5)","(0.1, 0.2)",168,24,1,0,37,10,1,0,146,2980,37,0.4,Gradual
43,2,"(0.3, 0.5)","(0.1, 0.2)",720,24,1,0,11,22,1,0,134,2800,11,0.4,Gradual
44,2,"(0.3, 0.5)","(0.1, 0.2)",720,168,1,0,1,46,1,0,21,2896,1,0.4,Gradual
45,2,"(0.3, 0.5)","(0.1, 0.2)",2160,24,1,0,14,22,1,0,87,2488,14,0.4,Gradual
