,drift_type,strength,length,window,step,seed,tp_regular,fn_regular,fp_regular,delay_regular,tp_irregular,fn_irregular,fp_irregular,delay_irregular
0,1,0.25,"(0.1, 0.4)",168,24,0,0,1,0,,1,0,2,3594.0
1,1,0.25,"(0.1, 0.4)",168,24,1,0,1,0,,1,0,2,6248.0
2,1,0.25,"(0.1, 0.4)",168,24,2,0,1,0,,1,0,2,5320.0
3,1,0.25,"(0.1, 0.4)",168,24,3,0,1,0,,1,0,2,3497.0
4,1,0.25,"(0.1, 0.4)",168,24,4,0,1,0,,1,0,2,5457.0
5,1,0.25,"(0.1, 0.4)",720,24,0,0,1,5,,1,0,1,2466.0
6,1,0.25,"(0.1, 0.4)",720,24,1,0,1,2,,1,0,1,8912.0
7,1,0.25,"(0.1, 0.4)",720,24,2,0,1,2,,1,0,1,7984.0
8,1,0.25,"(0.1, 0.4)",720,24,3,0,1,5,,1,0,1,2369.0
9,1,0.25,"(0.1, 0.4)",720,24,4,0,1,15,,0,1,33,
10,1,0.25,"(0.1, 0.4)",720,168,0,0,1,0,,1,0,0,2658.0
11,1,0.25,"(0.1, 0.4)",720,168,1,0,1,0,,1,0,0,9104.0
12,1,0.25,"(0.1, 0.4)",720,168,2,0,1,0,,1,0,0,8176.0
13,1,0.25,"(0.1, 0.4)",720,168,3,0,1,0,,1,0,0,2561.0
14,1,0.25,"(0.1, 0.4)",720,168,4,0,1,1,,0,1,4,
15,1,0.25,"(0.1, 0.4)",2160,24,0,1,0,0,19309.0,0,1,0,
16,1,0.25,"(0.1, 0.4)",2160,24,1,1,0,0,23815.0,0,1,0,
17,1,0.25,"(0.1, 0.4)",2160,24,2,1,0,0,23166.0,0,1,0,
18,1,0.25,"(0.1, 0.4)",2160,24,3,1,0,0,19241.0,0,1,0,
19,1,0.25,"(0.1, 0.4)",2160,24,4,1,0,12,5008.0,0,1,47,
20,1,0.25,"(0.1, 0.4)",2160,168,0,0,1,0,,0,1,0,
21,1,0.25,"(0.1, 0.4)",2160,168,1,0,1,0,,0,1,0,
22,1,0.25,"(0.1, 0.4)",2160,168,2,0,1,0,,0,1,0,
23,1,0.25,"(0.1, 0.4)",2160,168,3,0,1,0,,0,1,0,
24,1,0.25,"(0.1, 0.4)",2160,168,4,0,1,1,,0,1,7,
25,1,0.25,"(0.1, 0.4)",2160,720,0,0,1,0,,0,1,0,
26,1,0.25,"(0.1, 0.4)",2160,720,1,0,1,0,,0,1,0,
27,1,0.25,"(0.1, 0.4)",2160,720,2,0,1,0,,0,1,0,
28,1,0.25,"(0.1, 0.4)",2160,720,3,0,1,0,,0,1,0,
29,1,0.25,"(0.1, 0.4)",2160,720,4,0,1,0,,0,1,1,
30,1,0.5,"(0.1, 0.4)",168,24,0,1,0,0,37.0,1,0,3,3354.0
31,1,0.5,"(0.1, 0.4)",168,24,1,1,0,0,31.0,1,0,3,6128.0
32,1,0.5,"(0.1, 0.4)",168,24,2,1,0,0,30.0,1,0,3,5200.0
33,1,0.5,"(0.1, 0.4)",168,24,3,1,0,0,17.0,1,0,3,3257.0
34,1,0.5,"(0.1, 0.4)",168,24,4,1,0,0,16.0,1,0,3,1281.0
35,1,0.5,"(0.1, 0.4)",720,24,0,1,0,5,12733.0,1,0,19,18.0
36,1,0.5,"(0.1, 0.4)",720,24,1,1,0,2,17239.0,1,0,6,1352.0
37,1,0.5,"(0.1, 0.4)",720,24,2,1,0,2,16590.0,1,0,1,424.0
38,1,0.5,"(0.1, 0.4)",720,24,3,1,0,5,12665.0,1,0,17,41.0
39,1,0.5,"(0.1, 0.4)",720,24,4,0,1,14,,1,0,34,57.0
40,1,0.5,"(0.1, 0.4)",720,168,0,0,1,0,,1,0,3,306.0
41,1,0.5,"(0.1, 0.4)",720,168,1,0,1,0,,1,0,1,1880.0
42,1,0.5,"(0.1, 0.4)",720,168,2,0,1,0,,1,0,0,952.0
43,1,0.5,"(0.1, 0.4)",720,168,3,0,1,0,,1,0,2,209.0
44,1,0.5,"(0.1, 0.4)",720,168,4,0,1,1,,1,0,4,345.0
45,1,0.5,"(0.1, 0.4)",2160,24,0,1,0,53,37.0,1,0,48,42.0
46,1,0.5,"(0.1, 0.4)",2160,24,1,1,0,49,31.0,1,0,0,2168.0
47,1,0.5,"(0.1, 0.4)",2160,24,2,1,0,47,6.0,1,0,0,1240.0
48,1,0.5,"(0.1, 0.4)",2160,24,3,1,0,52,17.0,1,0,48,41.0
49,1,0.5,"(0.1, 0.4)",2160,24,4,1,0,13,16.0,1,0,84,9.0
50,1,0.5,"(0.1, 0.4)",2160,168,0,1,0,7,109.0,1,0,7,306.0
51,1,0.5,"(0.1, 0.4)",2160,168,1,1,0,7,247.0,1,0,0,2384.0
52,1,0.5,"(0.1, 0.4)",2160,168,2,1,0,7,270.0,1,0,0,1456.0
53,1,0.5,"(0.1, 0.4)",2160,168,3,1,0,7,41.0,1,0,6,41.0
54,1,0.5,"(0.1, 0.4)",2160,168,4,1,0,1,256.0,1,0,12,9.0
55,1,0.5,"(0.1, 0.4)",2160,720,0,1,0,1,205.0,1,0,1,354.0
56,1,0.5,"(0.1, 0.4)",2160,720,1,1,0,1,391.0,1,0,0,3200.0
57,1,0.5,"(0.1, 0.4)",2160,720,2,1,0,1,462.0,1,0,0,2272.0
58,1,0.5,"(0.1, 0.4)",2160,720,3,1,0,1,137.0,1,0,1,257.0
59,1,0.5,"(0.1, 0.4)",2160,720,4,1,0,0,1024.0,1,0,2,777.0
60,1,0.75,"(0.1, 0.4)",168,24,0,1,0,1,229.0,1,0,4,330.0
61,1,0.75,"(0.1, 0.4)",168,24,1,1,0,1,223.0,1,0,3,368.0
62,1,0.75,"(0.1, 0.4)",168,24,2,1,0,1,222.0,1,0,3,1528.0
63,1,0.75,"(0.1, 0.4)",168,24,3,1,0,1,233.0,1,0,3,233.0
64,1,0.75,"(0.1, 0.4)",168,24,4,1,0,1,232.0,1,0,3,321.0
65,1,0.75,"(0.1, 0.4)",720,24,0,1,0,22,37.0,1,0,23,18.0
66,1,0.75,"(0.1, 0.4)",720,24,1,1,0,18,31.0,1,0,21,32.0
67,1,0.75,"(0.1, 0.4)",720,24,2,1,0,19,6.0,1,0,20,40.0
68,1,0.75,"(0.1, 0.4)",720,24,3,1,0,22,41.0,1,0,23,41.0
69,1,0.75,"(0.1, 0.4)",720,24,4,1,0,21,40.0,1,0,54,33.0
70,1,0.75,"(0.1, 0.4)",720,168,0,1,0,2,109.0,1,0,3,138.0
71,1,0.75,"(0.1, 0.4)",720,168,1,1,0,2,79.0,1,0,2,32.0
72,1,0.75,"(0.1, 0.4)",720,168,2,1,0,2,102.0,1,0,3,280.0
73,1,0.75,"(0.1, 0.4)",720,168,3,1,0,2,41.0,1,0,3,209.0
74,1,0.75,"(0.1, 0.4)",720,168,4,1,0,1,88.0,1,0,7,177.0
75,1,0.75,"(0.1, 0.4)",2160,24,0,1,0,62,37.0,1,0,62,42.0
76,1,0.75,"(0.1, 0.4)",2160,24,1,1,0,61,31.0,1,0,57,32.0
